Item_Identifier,Item_Weight,Item_Visibility,Year,Outlet_Identifier,Item_Type,Item_MRP,MRP_Level,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Converted Sales
FDV08,7.35,0.028589521,12,OUT035,Fruits and Vegetables,42.0454,Low,3,Tier 2,Supermarket Type1,861.2438123,0.56
FDN45,19.35,0.118286387,17,OUT049,Snack Foods,223.7088,Very_High,2,Tier 1,Supermarket Type1,3626.091293,2.357
FDY40,15.5,0.085419332,31,OUT027,Frozen Foods,48.0692,Low,2,Tier 3,Supermarket Type3,2296.366921,1.493
NCH42,6.86,0.036360386,31,OUT027,Household,231.601,Very_High,2,Tier 3,Supermarket Type3,7580.133,4.927
FDW19,12.35,0.038560279,17,OUT049,Fruits and Vegetables,109.857,Medium,2,Tier 1,Supermarket Type1,1208.427,0.785
NCS06,7.935,0.035709697,19,OUT046,Household,263.691,Very_High,3,Tier 1,Supermarket Type1,788.973,0.513
FDK16,9.065,0.114771298,31,OUT027,Frozen Foods,93.9094,Medium,2,Tier 3,Supermarket Type3,3903.5854,2.537
FDW44,9.5,0.034980994,31,OUT027,Fruits and Vegetables,170.7448,High,2,Tier 3,Supermarket Type3,4213.341623,2.739
FDK58,11.35,0.045165796,7,OUT018,Snack Foods,100.0016,Medium,2,Tier 3,Supermarket Type2,1012.016,0.658
FDZ23,17.75,0.067777778,7,OUT018,Baking Goods,186.924,High,2,Tier 3,Supermarket Type2,3169.208,2.06
FDW52,14.0,0.037515445,12,OUT035,Frozen Foods,163.2526,High,3,Tier 2,Supermarket Type1,2790.159679,1.814
FDM24,6.135,0.079261353,29,OUT013,Baking Goods,152.8366,High,1,Tier 3,Supermarket Type1,2507.068795,1.63
FDA11,7.75,0.043326511,14,OUT045,Baking Goods,95.6436,Medium,2,Tier 2,Supermarket Type1,1134.5232,0.737
FDB12,11.15,0.105287746,12,OUT035,Baking Goods,103.2648,Medium,3,Tier 2,Supermarket Type1,2388.8904,1.553
FDM56,16.7,0.070178316,12,OUT035,Fruits and Vegetables,109.6912,Medium,3,Tier 2,Supermarket Type1,1907.197693,1.24
DRM11,6.57,0.066069578,19,OUT046,Hard Drinks,261.0278,Very_High,3,Tier 1,Supermarket Type1,4165.2448,2.707
FDY02,8.945,0.087782193,17,OUT049,Dairy,261.791,Very_High,2,Tier 1,Supermarket Type1,4267.340922,2.774
FDQ39,14.8,0.081042136,19,OUT046,Meat,192.4846,High,3,Tier 1,Supermarket Type1,5159.2842,3.354
FDF32,16.35,0.113953562,18,OUT010,Fruits and Vegetables,198.2426,High,2,Tier 3,Grocery Store,790.9704,0.514
FDD08,8.3,0.03549838,7,OUT018,Fruits and Vegetables,36.6506,Low,2,Tier 3,Supermarket Type2,455.4072,0.296
FDH04,6.115,0.019912606,31,OUT019,Frozen Foods,91.0488,Medium,3,Tier 1,Grocery Store,271.6464,0.177
NCQ05,11.395,0.03616416,18,OUT010,Health and Hygiene,150.1708,High,2,Tier 3,Grocery Store,300.9416,0.196
DRD15,10.6,0.056748659,29,OUT013,Dairy,233.6642,Very_High,1,Tier 3,Supermarket Type1,3950.1914,2.568
FDD56,15.2,0.181702355,31,OUT019,Fruits and Vegetables,173.4054,High,3,Tier 1,Grocery Store,885.0993829,0.575
NCA30,19.0,0.129860583,7,OUT018,Household,188.7872,High,2,Tier 3,Supermarket Type2,2682.042726,1.743
FDP07,18.2,0.08982696,29,OUT013,Fruits and Vegetables,197.111,High,1,Tier 3,Supermarket Type1,589.233,0.383
DRI01,7.97,0.037775898,7,OUT018,Soft Drinks,172.0422,High,2,Tier 3,Supermarket Type2,5690.5926,3.699
DRE37,13.5,0.094141186,29,OUT013,Soft Drinks,188.1872,High,1,Tier 3,Supermarket Type1,3010.839359,1.957
FDM39,6.42,0.053579102,14,OUT045,Dairy,177.3002,High,2,Tier 2,Supermarket Type1,2748.93265,1.787
NCE31,7.67,0.184843579,19,OUT046,Household,33.1216,Low,3,Tier 1,Supermarket Type1,727.0536,0.473
DRL59,16.75,0.037160705,31,OUT019,Hard Drinks,54.2298,Low,3,Tier 1,Grocery Store,161.7894,0.105
FDO11,8.0,0.030264897,19,OUT046,Breads,250.3092,Very_High,3,Tier 1,Supermarket Type1,6723.2484,4.37
FDA36,5.985,0.005689466,7,OUT018,Baking Goods,186.6924,High,2,Tier 3,Supermarket Type2,2694.743706,1.752
NCB19,6.525,0.090278634,12,OUT035,Household,86.7882,Medium,3,Tier 2,Supermarket Type1,1975.4286,1.284
FDY58,11.65,0.039725274,31,OUT027,Snack Foods,228.2694,Very_High,2,Tier 3,Supermarket Type3,5063.51728,3.291
FDI28,14.3,0.026470587,9,OUT017,Frozen Foods,80.8302,Medium,2,Tier 2,Supermarket Type1,1424.659562,0.926
FDS44,12.65,0.170795806,14,OUT045,Fruits and Vegetables,240.7538,Very_High,2,Tier 2,Supermarket Type1,3760.624966,2.444
NCA30,19.0,0.14034721,19,OUT046,Household,189.1872,High,3,Tier 1,Supermarket Type1,567.2616,0.369
FDS40,15.35,0.013951504,31,OUT027,Frozen Foods,36.719,Low,2,Tier 3,Supermarket Type3,622.523,0.405
DRA59,8.27,0.128126825,17,OUT049,Soft Drinks,183.6924,High,2,Tier 1,Supermarket Type1,1295.6468,0.842
FDY14,10.3,0.070040195,19,OUT046,Dairy,263.0226,Very_High,3,Tier 1,Supermarket Type1,4229.1616,2.749
FDU01,20.25,0.021002171,31,OUT019,Canned,185.1924,High,3,Tier 1,Grocery Store,555.2772,0.361
FDM46,7.365,0.160872688,9,OUT017,Snack Foods,94.012,Medium,2,Tier 2,Supermarket Type1,1606.198868,1.044
FDV19,14.85,0.035456465,9,OUT017,Fruits and Vegetables,162.2578,High,2,Tier 2,Supermarket Type1,3690.5294,2.399
FDJ41,6.85,0.022772467,31,OUT027,Frozen Foods,263.2594,Very_High,2,Tier 3,Supermarket Type3,5610.523951,3.647
FDW55,12.6,0.024095827,12,OUT035,Fruits and Vegetables,248.8092,Very_High,3,Tier 2,Supermarket Type1,6723.2484,4.37
FDP20,19.85,0.045631231,29,OUT013,Fruits and Vegetables,128.102,Medium,1,Tier 3,Supermarket Type1,1265.02,0.822
FDV52,20.7,0.121419594,29,OUT013,Frozen Foods,117.5466,Medium,1,Tier 3,Supermarket Type1,1951.698251,1.269
NCL54,12.6,0.082800369,7,OUT018,Household,173.2054,High,2,Tier 3,Supermarket Type2,2447.279482,1.591
FDX52,11.5,0.042087749,14,OUT045,Frozen Foods,192.682,High,2,Tier 2,Supermarket Type1,3861.64,2.51
FDX39,14.3,0.049666763,12,OUT035,Meat,212.9586,Very_High,3,Tier 2,Supermarket Type1,3561.460515,2.315
FDJ57,7.42,0.021661527,7,OUT018,Seafood,187.7582,High,2,Tier 3,Supermarket Type2,2600.6148,1.69
FDR39,20.35,0.08396923,14,OUT045,Meat,183.8292,High,2,Tier 2,Supermarket Type1,2846.200656,1.85
DRC13,8.26,0.032466695,14,OUT045,Soft Drinks,122.573,Medium,2,Tier 2,Supermarket Type1,739.038,0.48
NCV42,6.26,0.031421979,19,OUT046,Household,109.3228,Medium,3,Tier 1,Supermarket Type1,1738.28024,1.13
FDW58,20.75,0.007551665,12,OUT035,Snack Foods,107.1622,Medium,3,Tier 2,Supermarket Type1,1693.7952,1.101
FDP26,7.785,0.244338986,31,OUT019,Dairy,105.9306,Medium,3,Tier 1,Grocery Store,209.0612,0.136
FDU12,15.5,0.075688032,29,OUT013,Baking Goods,262.9568,Very_High,1,Tier 3,Supermarket Type1,1845.5976,1.2
FDK38,6.65,0.053591345,9,OUT017,Canned,149.7734,High,2,Tier 2,Supermarket Type1,2375.5744,1.544
NCJ31,19.2,0.183024199,14,OUT045,Others,239.3196,Very_High,2,Tier 2,Supermarket Type1,3667.669842,2.384
NCM07,9.395,0.039954281,12,OUT035,Others,82.4908,Medium,3,Tier 2,Supermarket Type1,2013.3792,1.309
NCF30,17.0,0.125632716,31,OUT027,Household,126.2362,Medium,2,Tier 3,Supermarket Type3,3436.778264,2.234
FDL58,5.78,0.074087369,29,OUT013,Snack Foods,264.9568,Very_High,1,Tier 3,Supermarket Type1,6855.0768,4.456
FDW25,5.175,0.037217847,31,OUT027,Canned,86.8224,Medium,2,Tier 3,Supermarket Type3,1448.7808,0.942
FDI14,14.1,0.089817198,17,OUT049,Canned,142.7496,High,2,Tier 1,Supermarket Type1,3528.74,2.294
FDY43,14.85,0.098555228,17,OUT049,Fruits and Vegetables,166.9474,High,2,Tier 1,Supermarket Type1,2746.045476,1.785
FDR09,18.25,0.077724599,19,OUT046,Snack Foods,260.2962,Very_High,3,Tier 1,Supermarket Type1,4104.878388,2.668
FDZ10,17.85,0.044463491,19,OUT046,Snack Foods,127.102,Medium,3,Tier 1,Supermarket Type1,2024.032,1.316
NCD19,8.93,0.013233076,7,OUT018,Household,53.7614,Low,2,Tier 3,Supermarket Type2,600.582802,0.39
NCZ54,14.65,0.090383066,18,OUT010,Household,161.5552,High,2,Tier 3,Grocery Store,324.9104,0.211
FDS25,6.885,0.1408005,9,OUT017,Canned,111.4228,Medium,2,Tier 2,Supermarket Type1,2984.1156,1.94
FDR55,12.15,0.131443921,31,OUT027,Fruits and Vegetables,189.1872,High,2,Tier 3,Supermarket Type3,5294.4416,3.441
FDG41,8.84,0.076995176,9,OUT017,Frozen Foods,112.0228,Medium,2,Tier 2,Supermarket Type1,1215.7508,0.79
FDR25,17.0,0.138846289,31,OUT027,Canned,263.7884,Very_High,2,Tier 3,Supermarket Type3,1324.942,0.861
FDD16,20.5,0.036409618,17,OUT049,Frozen Foods,74.7696,Medium,2,Tier 1,Supermarket Type1,1322.912207,0.86
FDQ56,6.59,0.106027474,7,OUT018,Fruits and Vegetables,83.9908,Medium,2,Tier 3,Supermarket Type2,1426.1436,0.927
NCF42,17.35,0.167383061,19,OUT046,Household,175.6712,High,3,Tier 1,Supermarket Type1,2812.3392,1.828
FDP39,12.65,0.06936719,29,OUT013,Meat,50.0324,Low,1,Tier 3,Supermarket Type1,865.5075889,0.563
NCZ53,9.6,0.024456797,29,OUT013,Health and Hygiene,186.6214,High,1,Tier 3,Supermarket Type1,3203.1638,2.082
FDO51,6.785,0.041947547,29,OUT013,Meat,41.2112,Low,1,Tier 3,Supermarket Type1,809.6128,0.526
DRF49,7.27,0.071479984,9,OUT017,Soft Drinks,114.9518,Medium,2,Tier 2,Supermarket Type1,1947.358662,1.266
FDV39,11.3,0.007286667,31,OUT019,Meat,196.8426,High,3,Tier 1,Grocery Store,593.2278,0.386
FDH21,10.395,0.031225013,19,OUT046,Seafood,156.9604,High,3,Tier 1,Supermarket Type1,2504.569417,1.628
FDW57,8.31,0.115857223,17,OUT049,Snack Foods,179.1028,High,2,Tier 1,Supermarket Type1,3896.2616,2.533
NCK53,11.6,0.043581537,31,OUT027,Health and Hygiene,100.8042,Medium,2,Tier 3,Supermarket Type3,3472.147,2.257
FDJ56,8.985,0.32111501,31,OUT019,Fruits and Vegetables,100.77,Medium,3,Tier 1,Grocery Store,199.74,0.13
FDP03,5.15,0.06117708,19,OUT046,Meat,121.8388,Medium,3,Tier 1,Supermarket Type1,3219.8088,2.093
FDT43,16.35,0.020664178,9,OUT017,Fruits and Vegetables,50.8324,Low,2,Tier 2,Supermarket Type1,1298.31,0.844
FDD26,8.71,0.072095416,29,OUT013,Canned,184.7924,High,1,Tier 3,Supermarket Type1,3005.665066,1.954
FDP49,9.0,0.069229076,14,OUT045,Breakfast,55.9614,Low,2,Tier 2,Supermarket Type1,386.8298,0.251
DRB13,6.115,0.00704434,19,OUT046,Soft Drinks,189.053,High,3,Tier 1,Supermarket Type1,3051.939769,1.984
FDK08,9.195,0.204713036,18,OUT010,Fruits and Vegetables,101.0016,Medium,2,Tier 3,Grocery Store,202.4032,0.132
NCK06,5.03,0.008659972,17,OUT049,Household,120.2756,Medium,2,Tier 1,Supermarket Type1,2009.898805,1.306
NCM54,17.7,0.050692386,31,OUT027,Household,125.6678,Medium,2,Tier 3,Supermarket Type3,4832.3764,3.141
NCW17,18.0,0.019425549,14,OUT045,Health and Hygiene,130.2994,Medium,2,Tier 2,Supermarket Type1,1999.480235,1.3
DRD49,9.895,0.167831064,19,OUT046,Soft Drinks,237.4564,Very_High,3,Tier 1,Supermarket Type1,715.0692,0.465
FDX48,17.75,0.063416566,18,OUT010,Baking Goods,154.6656,High,2,Tier 3,Grocery Store,308.9312,0.201
FDN44,13.15,0.022888471,7,OUT018,Fruits and Vegetables,160.292,High,2,Tier 3,Supermarket Type2,2281.493467,1.483
FDP39,12.65,0.121554149,31,OUT019,Meat,53.7324,Low,3,Tier 1,Grocery Store,311.5944,0.203
FDP21,7.42,0.025886443,9,OUT017,Snack Foods,189.1872,High,2,Tier 2,Supermarket Type1,4727.18,3.073
DRM23,16.6,0.135707553,12,OUT035,Hard Drinks,170.6422,High,3,Tier 2,Supermarket Type1,1379.5376,0.897
FDR49,8.71,0.140015944,9,OUT017,Canned,46.3376,Low,2,Tier 2,Supermarket Type1,868.1110852,0.564
FDA21,13.65,0.036107198,7,OUT018,Snack Foods,184.4924,High,2,Tier 3,Supermarket Type2,5182.5872,3.369
NCU54,8.88,0.098822387,14,OUT045,Household,209.627,Very_High,2,Tier 2,Supermarket Type1,1887.543,1.227
DRB48,16.75,0.024832806,29,OUT013,Soft Drinks,38.7822,Low,1,Tier 3,Supermarket Type1,667.7974,0.434
NCW42,18.2,0.058707159,7,OUT018,Household,220.5456,Very_High,2,Tier 3,Supermarket Type2,3094.6384,2.012
NCE30,16.0,0.099290166,17,OUT049,Household,214.0902,Very_High,2,Tier 1,Supermarket Type1,1486.7314,0.966
FDE11,17.7,0.134441765,31,OUT027,Starchy Foods,183.9924,High,2,Tier 3,Supermarket Type3,6478.234,4.211
NCY05,13.5,0.092042001,18,OUT010,Health and Hygiene,36.6874,Low,2,Tier 3,Grocery Store,-1313.259029,-0.854
NCH18,9.3,0.078196049,31,OUT019,Household,243.9802,Very_High,3,Tier 1,Grocery Store,1931.606711,1.256
DRK01,7.63,0.106915719,31,OUT019,Soft Drinks,93.4436,Medium,3,Tier 1,Grocery Store,-390.822927,-0.254
NCH07,13.15,0.093191195,9,OUT017,Household,158.1604,High,2,Tier 2,Supermarket Type1,1426.1436,0.927
FDJ57,7.42,0.021607186,17,OUT049,Seafood,185.3582,High,2,Tier 1,Supermarket Type1,3089.407312,2.008
NCE30,16.0,0.108508008,14,OUT045,Household,210.4902,Very_High,2,Tier 2,Supermarket Type1,3610.6334,2.347
FDQ01,19.7,0.16102755,14,OUT045,Canned,254.1014,Very_High,2,Tier 2,Supermarket Type1,4845.0266,3.149
NCN05,8.235,0.01438965,31,OUT027,Health and Hygiene,184.795,High,2,Tier 3,Supermarket Type3,4366.438669,2.838
FDQ14,9.27,0.062136785,9,OUT017,Dairy,150.605,High,2,Tier 2,Supermarket Type1,2503.819141,1.627
FDB58,10.5,0.013523837,14,OUT045,Snack Foods,141.1154,High,2,Tier 2,Supermarket Type1,2237.256289,1.454
NCE18,10.0,0.021546531,9,OUT017,Household,249.175,Very_High,2,Tier 2,Supermarket Type1,4019.685555,2.613
FDE22,9.695,0.029740086,9,OUT017,Snack Foods,161.392,High,2,Tier 2,Supermarket Type1,2677.249328,1.74
DRK13,11.8,0.11507174,29,OUT013,Soft Drinks,198.2084,High,1,Tier 3,Supermarket Type1,3769.7596,2.45
FDY22,16.5,0.159587755,29,OUT013,Snack Foods,142.6128,High,1,Tier 3,Supermarket Type1,2334.86582,1.518
FDG16,15.25,0.090182684,7,OUT018,Frozen Foods,214.4192,Very_High,2,Tier 3,Supermarket Type2,3112.221869,2.023
FDT10,16.7,0.061744052,31,OUT027,Snack Foods,59.2562,Low,2,Tier 3,Supermarket Type3,2474.572019,1.608
FDP40,4.555,0.034410585,17,OUT049,Frozen Foods,111.3544,Medium,2,Tier 1,Supermarket Type1,1342.2528,0.872
NCA41,16.75,0.032428906,31,OUT027,Health and Hygiene,193.9162,High,2,Tier 3,Supermarket Type3,4505.808528,2.929
NCF06,6.235,0.020181546,29,OUT013,Household,260.1962,Very_High,1,Tier 3,Supermarket Type1,4118.661085,2.677
FDR08,18.7,0.037699254,14,OUT045,Fruits and Vegetables,110.2886,Medium,2,Tier 2,Supermarket Type1,2223.772,1.445
FDA56,9.21,0.008782561,14,OUT045,Fruits and Vegetables,119.8414,Medium,2,Tier 2,Supermarket Type1,1340.2554,0.871
FDK58,11.35,0.044945123,29,OUT013,Snack Foods,101.0016,Medium,1,Tier 3,Supermarket Type1,2631.2416,1.71
DRK37,5.0,0.048764245,29,OUT013,Soft Drinks,188.353,High,1,Tier 3,Supermarket Type1,3020.665024,1.963
FDQ36,7.855,0.161719349,31,OUT019,Baking Goods,38.1848,Low,3,Tier 1,Grocery Store,37.2848,0.024
NCM26,20.5,0.023274107,9,OUT017,Others,154.134,High,2,Tier 2,Supermarket Type1,2909.546,1.891
FDX12,18.2,0.028598405,17,OUT049,Baking Goods,243.0196,Very_High,2,Tier 1,Supermarket Type1,3986.055342,2.591
NCI55,18.6,0.012725138,9,OUT017,Household,121.8414,Medium,2,Tier 2,Supermarket Type1,2040.593372,1.326
FDW02,4.805,0.037692295,12,OUT035,Dairy,127.0704,Medium,3,Tier 2,Supermarket Type1,2226.575245,1.447
FDB57,20.25,0.018805105,19,OUT046,Fruits and Vegetables,220.6772,Very_High,3,Tier 1,Supermarket Type1,2223.772,1.445
DRI39,13.8,0.09698132,29,OUT013,Dairy,55.593,Low,1,Tier 3,Supermarket Type1,947.3525993,0.616
FDC44,15.6,0.172946916,14,OUT045,Fruits and Vegetables,114.1518,Medium,2,Tier 2,Supermarket Type1,1821.6288,1.184
NCG19,20.25,0.14823358,14,OUT045,Household,235.7616,Very_High,2,Tier 2,Supermarket Type1,3618.360036,2.352
FDI48,11.85,0.097555725,31,OUT019,Baking Goods,52.7666,Low,3,Tier 1,Grocery Store,-977.6601073,-0.635
NCI18,18.35,0.014052469,14,OUT045,Household,224.0746,Very_High,2,Tier 2,Supermarket Type1,1346.2476,0.875
FDZ09,17.6,0.104371086,31,OUT027,Snack Foods,164.4868,High,2,Tier 3,Supermarket Type3,4060.406652,2.639
FDQ22,16.75,0.029595637,31,OUT027,Snack Foods,40.9822,Low,2,Tier 3,Supermarket Type3,864.2084,0.562
FDM27,12.35,0.157701958,31,OUT027,Meat,158.7946,High,2,Tier 3,Supermarket Type3,5522.811,3.59
FDF02,16.2,0.103453599,12,OUT035,Canned,103.699,Medium,3,Tier 2,Supermarket Type1,1808.213345,1.175
NCM31,6.095,0.081129049,29,OUT013,Others,143.8154,High,1,Tier 3,Supermarket Type1,2297.419827,1.493
DRD15,10.6,0.056884225,17,OUT049,Dairy,231.9642,Very_High,2,Tier 1,Supermarket Type1,3020.7346,1.963
DRE48,8.43,0.01724183,31,OUT027,Soft Drinks,197.0768,High,2,Tier 3,Supermarket Type3,8868.456,5.764
NCE42,21.1,0.010600287,12,OUT035,Household,233.9958,Very_High,3,Tier 2,Supermarket Type1,1869.5664,1.215
